する,す[る-
相続する,そ[うぞくする-
早退する,そ[うたいする-
相談する,そ[うだんする-
想定する,そ[うていする-
相当する,そ[うとうする-
遭難する,そ[うなんする-
創立する,そ[うりつする-
促進する,そ[くしんする-
測定する,そ[くていする-
束縛する,そ[くばくする-
卒業する,そ[つぎょうする-
尊敬する,そ[んけいする-
存在する,そ[んざいする-
損失する,そ[んしつする-
存続する,そ[んぞくする-
尊重する,そ[んちょうする-
増強する,ぞ[うきょうする-
増進する,ぞ[うしんする-
退院する,た[いいんする-
対応する,た[いおうする-
退学する,た[いがくする-
退屈する,た[いくつする-
対決する,た[いけつする-
体験する,た[いけんする-
対抗する,た[いこうする-
滞在する,た[いざいする-
退職する,た[いしょくする-
体操する,た[いそうする-
対談する,た[いだんする-
台頭する,た[いとうする-
対立する,た[いりつする-
探求する,た[んきゅうする-
探検する,た[んけんする-
短縮する,た[んしゅくする-
誕生する,た[んじょうする-
探測する,た[んそくする-
担当する,た[んとうする-
担任する,た[んにんする-
代表する,だ[いひょうする-
脱出する,だ[っしゅつする-
団結する,だ[んけつする-
断水する,だ[んすいする-
断絶する,だ[んぜつする-
断定する,だ[んていする-
暖房する,だ[んぼうする-
団らんする,だ[んらんする-
蓄積する,ち[くせきする-
窒息する,ち[っそくする-
着色する,ちゃ[くしょくする-
着席する,ちゃ[くせきする-
着目する,ちゃ[くもくする-
着陸する,ちゃ[くりくする-
着工する,ちゃ[っこうする-
中継する,ちゅ[うけいする-
中傷する,ちゅ[うしょうする-
抽選する,ちゅ[うせんする-
中絶する,ちゅ[うぜつする-
中退する,ちゅ[うたいする-
中断する,ちゅ[うだんする-
注目する,ちゅ[うもくする-
注文する,ちゅ[うもんする-
聴講する,ちょ[うこうする-
調整する,ちょ[うせいする-
調節する,ちょ[うせつする-
挑戦する,ちょ[うせんする-
頂戴する,ちょ[うだいする-
重複する,ちょ[うふくする-
直面する,ちょ[くめんする-
直立する,ちょ[くりつする-
直感する,ちょ[っかんする-
直行する,ちょ[っこうする-
沈黙する,ち[んもくする-
陳列する,ち[んれつする-
追求する,つ[いきゅうする-
追及する,つ[いきゅうする-
追跡する,つ[いせきする-
追突する,つ[いとつする-
追放する,つ[いほうする-
墜落する,つ[いらくする-
通院する,つ[ういんする-
痛感する,つ[うかんする-
通学する,つ[うがくする-
通勤する,つ[うきんする-
通行する,つ[うこうする-
通信する,つ[うしんする-
通用する,つ[うようする-
提案する,て[いあんする-
提供する,て[いきょうする-
提携する,て[いけいする-
抵抗する,て[いこうする-
提出する,て[いしゅつする-
提唱する,て[いしょうする-
訂正する,て[いせいする-
停滞する,て[いたいする-
定着する,て[いちゃくする-
停電する,て[いでんする-
停泊する,て[いはくする-
適応する,て[きおうする-
適用する,て[きようする-
転回する,て[んかいする-
展開する,て[んかいする-
転換する,て[んかんする-
転勤する,て[んきんする-
点検する,て[んけんする-
転校する,て[んこうする-
転職する,て[んしょくする-
転任する,て[んにんする-
点滅する,て[んめつする-
転落する,て[んらくする-
伝言する,で[んごんする-
伝染する,で[んせんする-
伝達する,で[んたつする-
伝来する,で[んらいする-
統一する,と[ういつする-
登校する,と[うこうする-
統合する,と[うごうする-
搭載する,と[うさいする-
倒産する,と[うさんする-
搭乗する,と[うじょうする-
登場する,と[うじょうする-
統制する,と[うせいする-
当選する,と[うせんする-
逃走する,と[うそうする-
統率する,と[うそつする-
到達する,と[うたつする-
到着する,と[うちゃくする-
盗難する,と[うなんする-
投入する,と[うにゅうする-
投票する,と[うひょうする-
等分する,と[うぶんする-
冬眠する,と[うみんする-
登録する,と[うろくする-
特集する,と[くしゅうする-
得点する,と[くてんする-
突入する,と[つにゅうする-
動員する,ど[ういんする-
同行する,ど[うこうする-
同情する,ど[うじょうする-
同調する,ど[うちょうする-
導入する,ど[うにゅうする-
同封する,ど[うふうする-
動揺する,ど[うようする-
独立する,ど[くりつする-
納得する,な[っとくする-
夏バテする,な[つばてする-
肉食する,に[くしょくする-
入院する,にゅ[ういんする-
入会する,にゅ[うかいする-
入学する,にゅ[うがくする-
入賞する,にゅ[うしょうする-
入力する,にゅ[うりょくする-
認識する,に[んしきする-
認定する,に[んていする-
任命する,に[んめいする-
猫ばばする,ね[こばばする-
熱中する,ね[っちゅうする-
燃焼する,ね[んしょうする-
納品する,の[うひんする-
配給する,は[いきゅうする-
拝見する,は[いけんする-
拝借する,は[いしゃくする-
排出する,は[いしゅつする-
配達する,は[いたつする-
配列する,は[いれつする-
迫害する,は[くがいする-
発掘する,は[っくつする-
発見する,は[っけんする-
発酵する,は[っこうする-
発行する,は[っこうする-
発信する,は[っしんする-
発生する,は[っせいする-
発送する,は[っそうする-
発想する,は[っそうする-
発達する,は[ったつする-
発展する,は[ってんする-
発表する,は[っぴょうする-
発音する,は[つおんする-
発言する,は[つげんする-
発電する,は[つでんする-
発熱する,は[つねつする-
発売する,は[つばいする-
発病する,は[つびょうする-
発明する,は[つめいする-
反映する,は[んえいする-
繁栄する,は[んえいする-
反撃する,は[んげきする-
半減する,は[んげんする-
反抗する,は[んこうする-
繁殖する,は[んしょくする-
反省する,は[んせいする-
反対する,は[んたいする-
判定する,は[んていする-
反応する,は[んのうする-
販売する,は[んばいする-
反発する,は[んぱつする-
判別する,は[んべつする-
判明する,は[んめいする-
反乱する,は[んらんする-
氾濫する,は[んらんする-
反論する,は[んろんする-
倍増する,ば[いぞうする-
爆発する,ば[くはつする-
引越しする,ひ[っこしする-
表彰する,ひょ[うしょうする-
表明する,ひょ[うめいする-
評論する,ひょ[うろんする-
復習する,ふ[くしゅうする-
復活する,ふ[っかつする-
復旧する,ふ[っきゅうする-
復興する,ふ[っこうする-
沸騰する,ふ[っとうする-
憤慨する,ふ[んがいする-
紛失する,ふ[んしつする-
噴出する,ふ[んしゅつする-
分解する,ぶ[んかいする-
分業する,ぶ[んぎょうする-
分析する,ぶ[んせきする-
分担する,ぶ[んたんする-
分配する,ぶ[んぱいする-
分別する,ぶ[んべつする-
分類する,ぶ[んるいする-
分裂する,ぶ[んれつする-
閉会する,へ[いかいする-
並行する,へ[いこうする-
閉店する,へ[いてんする-
並列する,へ[いれつする-
変革する,へ[んかくする-
返還する,へ[んかんする-
返却する,へ[んきゃくする-
変更する,へ[んこうする-
返済する,へ[んさいする-
編集する,へ[んしゅうする-
偏食する,へ[んしょくする-
返答する,へ[んとうする-
返品する,へ[んぴんする-
弁解する,べ[んかいする-
勉強する,べ[んきょうする-
弁償する,べ[んしょうする-
崩壊する,ほ[うかいする-
報告する,ほ[うこくする-
放出する,ほ[うしゅつする-
放送する,ほ[うそうする-
包装する,ほ[うそうする-
報道する,ほ[うどうする-
訪日する,ほ[うにちする-
訪問する,ほ[うもんする-
発足する,ほ[っそくする-
翻訳する,ほ[んやくする-
防衛する,ぼ[うえいする-
貿易する,ぼ[うえきする-
妨害する,ぼ[うがいする-
冒険する,ぼ[うけんする-
膨脹する,ぼ[うちょうする-
防犯する,ぼ[うはんする-
没収する,ぼ[っしゅうする-
没頭する,ぼ[っとうする-
没落する,ぼ[つらくする-
埋蔵する,ま[いぞうする-
前売する,ま[えうりする-
前置する,ま[えおきする-
全うする,ま[っとうする-
満載する,ま[んさいする-
密集する,み[っしゅうする-
密接する,み[っせつする-
密着する,み[っちゃくする-
無毒化する,む[どくかする-
命令する,め[いれいする-
黙認する,も[くにんする-
目礼する,も[くれいする-
文字化けする,も[じばけする-
約束する,や[くそくする-
遺言する,ゆ[いごんする-
誘拐する,ゆ[うかいする-
優勝する,ゆ[うしょうする-
優先する,ゆ[うせんする-
郵送する,ゆ[うそうする-
誘導する,ゆ[うどうする-
誘惑する,ゆ[うわくする-
要求する,よ[うきゅうする-
養殖する,よ[うしょくする-
要請する,よ[うせいする-
養成する,よ[うせいする-
抑制する,よ[くせいする-
来日する,ら[いにちする-
落選する,ら[くせんする-
濫用する,ら[んようする-
略奪する,りゃ[くだつする-
留学する,りゅ[うがくする-
流行する,りゅ[うこうする-
流通する,りゅ[うつうする-
留年する,りゅ[うねんする-
了解する,りょ[うかいする-
両替する,りょ[うがえする-
量産する,りょ[うさんする-
了承する,りょ[うしょうする-
両立する,りょ[うりつする-
類推する,る[いすいする-
留守番する,る[すばんする-
冷蔵する,れ[いぞうする-
冷凍する,れ[いとうする-
連載する,れ[んさいする-
練習する,れ[んしゅうする-
連想する,れ[んそうする-
連続する,れ[んぞくする-
連絡する,れ[んらくする-
老衰する,ろ[うすいする-
労働する,ろ[うどうする-
浪人する,ろ[うにんする-
録音する,ろ[くおんする-
割引する,わ[りびきする-
ジョギングする,じょ[ぎんぐする-
フリーズする,ふ[りーずする-
マラソンする,ま[らそんする-
リストラする,り[すとらする-
活性化する,か[っせいかする-
国際化する,こ[くさいかする-
清浄化する,せ[いじょうかする-
つまみ食いする,つ[まみぐいする-
取り外しする,と[りはずしする-
仲間入りする,な[かまいりする-
日常化する,に[ちじょうかする-
若返りする,わ[かがえりする-
目の当たりにする,ま[のあたりにする-
来る,[く]る
維持する,[い]じする
位置する,[い]ちする
意図する,[い]とする
意味する,[い]みする
寄付する,[き]ふする
許可する,[きょ]かする
駆使する,[く]しする
下車する,[げ]しゃする
恋する,[こ]いする
支持する,[し]じする
指示する,[し]じする
処理する,[しょ]りする
破棄する,[は]きする
保護する,[ほ]ごする
保守する,[ほ]しゅする
保持する,[ほ]じする
補助する,[ほ]じょする
麻痺する,[ま]ひする
無視する,[む]しする
無理する,[む]りする
目にする,[め]にする
予期する,[よ]きする
ミスする,[み]すする
メモする,[め]もする
合図する,[あ]いずする
握手する,[あ]くしゅする
育児する,[い]くじする
意識する,[い]しきする
演技する,[え]んぎする
援助する,[え]んじょする
謳歌する,[お]うかする
会議する,[か]いぎする
解雇する,[か]いこする
介護する,[か]いごする
解除する,[か]いじょする
科学する,[か]がくする
覚悟する,[か]くごする
確保する,[か]くほする
感謝する,[か]んしゃする
関与する,[か]んよする
管理する,[か]んりする
我慢する,[が]まんする
機能する,[き]のうする
勤務する,[き]んむする
議論する,[ぎ]ろんする
区別する,[く]べつする
苦労する,[く]ろうする
警備する,[け]いびする
決意する,[け]ついする
決議する,[け]つぎする
検査する,[け]んさする
講義する,[こ]うぎする
抗議する,[こ]うぎする
工事する,[こ]うじする
控訴する,[こ]うそする
交付する,[こ]うふする
考慮する,[こ]うりょする
合議する,[ご]うぎする
作業する,[さ]ぎょうする
